merger,error_of_value,error_thermal,error_renewable,error_nsp,error_1_to_2,error_1_to_3,error_2_to_1,error_2_to_3,error_3_to_1,error_3_to_2,rel_error_of_value,rel_error_thermal,rel_error_renewable,rel_error_nsp,rel_error_1_to_2,rel_error_1_to_3,rel_error_2_to_1,rel_error_2_to_3,rel_error_3_to_1,rel_error_3_to_2
"['1', '2', '3', '4+6+7', '5+8']",854504266.1133235,-152941.3776629935,-18705.0000000007,171646.37766300014,0.0,0.0,9563.6223369902,0.0,-181210.00000000023,162504.99999999948,0.9300798868219241,-0.06504657943205117,-0.015235626568436578,1.0,0.0,0.0,0.0034796535003069895,0.0,-0.2181852239433224,0.4091452826973071
"['1', '2', '3', '4+6+7+8', '5']",664008587.5254806,-114658.98089299351,-18705.0000000007,133363.98089300015,0.0,0.0,-15158.980893009808,0.0,-118205.00000000035,99499.99999999948,0.7227360429030107,-0.04876492301964386,-0.015235626568436578,0.7769693873461095,0.0,0.0,-0.005515483471302485,0.0,-0.14232428892566906,0.25051509571017494
"['1', '2', '3', '4+6+8', '5', '7']",594779538.8337784,-107957.17183499411,-11525.000000000466,119482.17183500016,0.0,0.0,-46207.171835010406,0.0,-73275.00000000023,61749.999999999476,0.647384112754275,-0.045914616831149946,-0.0093873614649147,0.6960949217907998,0.0,0.0,-0.01681213891028488,0.0,-0.08822649017409079,0.1554704237196307
"['1', '2', '3', '4+6+8', '5+7']",594929600.8337786,-100777.17183499411,-18705.000000000466,119482.17183500019,0.0,0.0,-46207.171835010406,0.0,-73275.00000000023,54569.999999999476,0.6475474468106528,-0.04286093412305236,-0.015235626568436356,0.6960949217907999,0.0,0.0,-0.01681213891028488,0.0,-0.08822649017409079,0.13739305299401194
"['1', '2', '3', '4+7', '5', '6', '8']",69074493.6917038,-13881.809057993814,-6.984919309616089e-10,13881.809058000072,0.0,0.0,-13881.809058010112,0.0,-2.3283064365386963e-10,-5.238689482212067e-10,0.07518370571428079,-0.005903988896589052,-6.661338147750939e-16,0.0808744655553102,0.0,0.0,-0.00505079391230967,0.0,-2.220446049250313e-16,-1.3322676295501878e-15
"['1', '2', '3', '4+7', '5', '6+8']",663605832.5254806,-133363.9808929935,-6.984919309616089e-10,133363.98089300015,0.0,0.0,-133363.98089301027,0.0,-4.656612873077393e-10,-5.238689482212067e-10,0.7222976667126604,-0.0567202343086366,-6.661338147750939e-16,0.7769693873461095,0.0,0.0,-0.04852350151201068,0.0,-6.661338147750939e-16,-1.3322676295501878e-15
"['1', '2', '3', '4+7', '5+6', '8']",382587373.6917048,-76886.80905799381,-6.984919309616089e-10,76886.80905800029,0.0,0.0,-13881.809058010112,0.0,-63005.00000000023,63004.999999999476,0.4164248621498249,-0.032700267312145925,-6.661338147750939e-16,0.44793726558538327,0.0,0.0,-0.00505079391230967,0.0,-0.07586093501765401,0.15863018698713083
"['1', '2', '3', '4+7', '5+6+8']",854101511.1133235,-171646.37766299397,-6.984919309616089e-10,171646.37766300014,0.0,0.0,-108641.37766301027,0.0,-63005.00000000035,63004.999999999476,0.9296415106315736,-0.07300189072104413,-6.661338147750939e-16,1.0,0.0,0.0,-0.039528364540400984,0.0,-0.07586093501765401,0.15863018698713083
"['1', '2', '3', '4+7', '5+8', '6']",259570172.27954674,-52164.20582799334,-6.984919309616089e-10,52164.20582800005,0.0,0.0,10840.794171989895,0.0,-63005.00000000035,63004.999999999476,0.28252754963319415,-0.02218564530899636,-6.661338147750939e-16,0.30390507820920065,0.0,0.0,0.003944343059299915,0.0,-0.07586093501765401,0.15863018698713083
"['1', '2', '3', '4+7+8', '5', '6']",69477248.6917038,4823.190942006651,-18705.0000000007,13881.809058000072,0.0,0.0,104323.19094198989,0.0,-118205.00000000035,99499.99999999948,0.07562208190463127,0.002051322392403798,-0.015235626568436578,0.0808744655553102,0.0,0.0,0.037957224128398304,0.0,-0.14232428892566906,0.25051509571017494
"['1', '2', '3', '4+7+8', '5+6']",382990128.6917048,-58181.80905799335,-18705.0000000007,76886.80905800029,0.0,0.0,104323.19094198989,0.0,-181210.00000000035,162504.99999999948,0.41686323834017536,-0.024744956023152964,-0.015235626568436578,0.44793726558538327,0.0,0.0,0.037957224128398304,0.0,-0.21818522394332263,0.4091452826973071
